year,site,sex,WL,DOY,snow,snow.1,mayjun,mayaug.1
1996,4,m,18.78,224,158.8,NA,-1.7558,NA
1996,4,f,18.82,224,158.8,NA,-1.7558,NA
1996,4,f,18.64,224,158.8,NA,-1.7558,NA
1996,4,m,17.35,224,158.8,NA,-1.7558,NA
1996,4,f,20.48,224,158.8,NA,-1.7558,NA
1996,4,f,18.65,224,158.8,NA,-1.7558,NA
1996,4,m,18.1,224,158.8,NA,-1.7558,NA
1996,4,f,19.46,224,158.8,NA,-1.7558,NA
1996,4,f,20.04,224,158.8,NA,-1.7558,NA
1996,5,m,18.14,182,158.8,NA,-1.7558,NA
1996,5,m,17.43,189,158.8,NA,-1.7558,NA
1996,5,m,17.23,189,158.8,NA,-1.7558,NA
1996,5,m,18.68,189,158.8,NA,-1.7558,NA
1996,5,m,17.45,189,158.8,NA,-1.7558,NA
1996,5,m,18.35,196,158.8,NA,-1.7558,NA
1996,5,f,18.37,196,158.8,NA,-1.7558,NA
1996,5,m,17.61,196,158.8,NA,-1.7558,NA
1996,5,m,18.65,196,158.8,NA,-1.7558,NA
1996,5,m,17.58,196,158.8,NA,-1.7558,NA
1996,5,m,18.42,196,158.8,NA,-1.7558,NA
1996,5,m,16.92,196,158.8,NA,-1.7558,NA
1996,5,m,19.06,196,158.8,NA,-1.7558,NA
1996,5,m,17.33,196,158.8,NA,-1.7558,NA
1996,5,m,17.72,196,158.8,NA,-1.7558,NA
1996,5,f,19.17,196,158.8,NA,-1.7558,NA
1996,5,m,18.74,217,158.8,NA,-1.7558,NA
1996,5,m,18.71,217,158.8,NA,-1.7558,NA
1996,5,m,18.2,217,158.8,NA,-1.7558,NA
1996,5,m,18.95,217,158.8,NA,-1.7558,NA
1996,5,m,18.39,224,158.8,NA,-1.7558,NA
1996,5,f,19.1,224,158.8,NA,-1.7558,NA
1996,5,m,17.67,224,158.8,NA,-1.7558,NA
1996,5,f,20.19,231,158.8,NA,-1.7558,NA
1996,5,f,19.41,231,158.8,NA,-1.7558,NA
1996,5,f,19.34,231,158.8,NA,-1.7558,NA
1996,5,f,18.33,231,158.8,NA,-1.7558,NA
1996,5,f,19.72,231,158.8,NA,-1.7558,NA
1996,5,f,19.31,231,158.8,NA,-1.7558,NA
1996,5,f,19.05,231,158.8,NA,-1.7558,NA
1996,5,f,19.16,238,158.8,NA,-1.7558,NA
1996,5,m,18.2,203,158.8,NA,-1.7558,NA
1996,5,m,18.63,203,158.8,NA,-1.7558,NA
1996,5,m,17.56,203,158.8,NA,-1.7558,NA
1996,5,f,20.5,203,158.8,NA,-1.7558,NA
