,Nest,Egg.Number,Egg.ID,Chick.ID,Egg.Volume,True.Lay.Seq
365,5037,3,5037-3,5037-3,34.14222536,3
366,5037,4,5037-4,5037-4,32.4902948,4
367,5037,5,5037-5,5037-5,33.8248067,5
368,5037,6,5037-6,5037-6,34.6072,6
369,5037,7,5037-7,5037-7,34.46722253,7
370,5037,8,5037-8,5037-8,34.99464921,8
371,5037,9,5037-9,5037-9,33.93592218,9
372,5037,10,5037-10,5037-10,32.8092818,10
373,5037,P1,5037-P1,5037-P1,30.33886316,NA
374,5038.1,1,5038.1-1,NA,29.68303232,NA
375,5038.1,2,5038.1-2,NA,29.7098752,NA
376,5038.1,3,5038.1-3,NA,NA,NA
377,5038.2,1,5038.2-1,NA,29.1567902,NA
378,5038.2,2,5038.2-2,NA,29.26783386,NA
379,5038.3,1,5038.3-1,NA,28.58731861,NA
380,5038.4,1,5038.4-1,NA,29.5505224,NA
381,5038.5,1,5038.5-1,NA,27.7229768,NA
382,5038.5,2,5038.5-2,NA,28.64819159,NA
383,5038.6,1,5038.6-1,NA,28.4169553,NA
384,5039,1,5039-1,5039-1,27.83594845,NA
385,5039,2,5039-2,5039-2,28.534856,NA
386,5039,3,5039-3,5039-3,28.21034016,NA
387,5039,4,5039-4,5039-4,28.8560272,NA
388,5039,5,5039-5,5039-5,28.86379491,NA
389,5039,6,5039-6,5039-6,26.94304213,NA
390,5039,7,5039-7,5039-7,27.833433,NA
391,5039,8,5039-8,5039-8,28.54168678,NA
392,5040,1,5040-1,5040-1,30.00681598,1
393,5040,2,5040-2,5040-2,28.4169553,2
394,5040,3,5040-3,5040-3,28.4951116,3
395,5040,4,5040-4,5040-4,NA,4
396,5040,5,5040-5,5040-5,26.12181402,5
397,5044,1,5044-1,5044-1,31.48945309,NA
398,5044,2,5044-2,5044-2,30.74457603,NA
399,5044,3,5044-3,5044-3,29.585952,NA
400,5044,4,5044-4,5044-4,30.16519594,NA
401,5044,5,5044-5,5044-5,NA,NA
402,5044,6,5044-6,5044-6,29.84608191,NA
403,5045,1,5045-1,5045-1,29.2405193,NA
404,5045,2,5045-2,5045-2,28.24078121,NA
405,5045,3,5045-3,5045-3,30.30121398,NA
406,5045,4,5045-4,5045-4,29.05295842,NA
407,5045,5,5045-5,5045-5,29.44937062,NA
408,5045,6,5045-6,5045-6,28.37387162,NA
409,5045,7,5045-7,5045-7,29.6981636,NA
410,5045,8,5045-8,5045-8,29.29070444,NA
411,5045,9,5045-9,5045-9,28.481792,NA
412,5046,1,5046-1,5046-1,26.2101704,1
413,5046,2,5046-2,5046-2,27.64102669,2
414,5046,3,5046-3,5046-3,26.7890504,3
415,5046,4,5046-4,5046-4,26.789975,4
416,5046,5,5046-5,5046-5,26.82841424,5
417,5046,6,5046-6,5046-6,26.25639879,6
418,5046,7,5046-7,5046-7,24.36213888,7
419,5046,8,5046-8,5046-8,23.29726554,8
420,5047,1,5047-1,5047-1,34.914194,1.5
421,5047,2,5047-2,5047-2,33.481868,1.5
422,5047,3,5047-3,5047-3,34.3613175,3
423,5047,4,5047-4,5047-4,34.65321238,4
424,5047,5,5047-5,5047-5,34.9189376,5
425,5047,P1,5047-P1,5047-P1,33.71284112,NA
426,5047,P2,5047-P2,5047-P2,27.22726899,NA
427,5048,1,5048-1,NA,26.97784943,NA
428,5048,2,5048-2,NA,30.60661499,NA
429,5048.1,1,5048.1-1,5048-1,26.21008571,1
430,5048.1,2,5048.1-2,5048-2,26.70158592,2
431,5048.1,3,5048.1-3,5048-3,28.18205651,3
432,5048.1,4,5048.1-4,5048-4,28.3146538,4
433,5048.1,5,5048.1-5,5048-5,28.29071014,5
434,5048.1,6,5048.1-6,5048-6,28.14663495,6
435,5048.1,7,5048.1-7,5048-7,NA,7
436,5048.1,8,5048.1-8,5048-8,NA,8
437,5048.1,9,5048.1-9,5048-9,27.86006523,9
438,5049,1,5049-1,NA,30.71787305,NA
439,5049,2,5049-2,NA,30.0022439,NA
440,5049.1,1,5049.1-1,NA,32.6875905,NA
441,5049.1,2,5049.1-2,NA,28.6569032,NA
442,5049.2,1,5049.2-1,NA,31.98776371,NA
443,5049.2,2,5049.2-2,NA,30.41756672,NA
444,5049.2,3,5049.2-3,NA,31.16319846,NA
445,5049.3,1,5049.3-1,NA,30.9613682,NA
446,5049.3,2,5049.3-2,NA,29.8184688,NA
447,5049.3,3,5049.3-3,NA,30.5403,NA
448,5049.3,4,5049.3-4,NA,31.51003549,NA
449,5049.4,1,5049.4-1,5049-1,33.44660992,NA
450,5049.4,2,5049.4-2,5049-2,29.00293194,NA
451,5049.4,3,5049.4-3,5049-3,29.41457082,NA
452,5049.4,4,5049.4-4,5049-4,30.48059603,NA
453,5049.4,5,5049.4-5,5049-5,NA,NA
454,5049.4,6,5049.4-6,5049-6,29.41527513,NA
455,5049.4,7,5049.4-7,5049-7,28.37387162,NA
456,5050,1,5050-1,5050-1,36.05249774,NA
457,5050,2,5050-2,5050-2,34.12676015,NA
